Depth,System,Accuracy,Train F1,Train AUC,Baseline Accuracy
3,Flower XGBoost Bagging,72.67,0.6381104275841117,0.7694333333333333,78.26
3,Flower XGBoost Cyclic,71.69,0.5725156975156974,0.7526333333333333,71.55
3,FedTree,87.87,0.585859,0.810138,79.67
3,FedXGBLLR,82.57,0.5867,0.8155,78.39
3,NVFlare,84.2,0.6427,0.81685,75.62
4,Flower XGBoost Bagging,74.91,0.5868120221061397,0.743,79.37
4,Flower XGBoost Cyclic,75.86,0.5056277056277056,0.6691666666666666,78.56
4,FedTree,86.32,0.596154,0.826412,80.67
4,FedXGBLLR,79.21,0.6028,0.8064,77.44
4,NVFlare,83.82,0.67593,0.83427,78.04
5,Flower XGBoost Bagging,77.97,0.5768141768141768,0.7164666666666668,79.68
5,Flower XGBoost Cyclic,75.44,0.4899444899444899,0.6694,80.36
5,FedTree,87.57,0.605505,0.798354,83.71
5,FedXGBLLR,80.74,0.5722,0.8101,80.39
5,NVFlare,83.03,0.6393,0.82135,79.1
6,Flower XGBoost Bagging,76.62,0.5064369182016241,0.6894666666666668,79.8
6,Flower XGBoost Cyclic,74.04,0.5908193908193908,0.7548999999999999,79.09
6,FedTree,88.17,0.603774,0.805088,82.95
6,FedXGBLLR,79.98,0.5313,0.8059,79.68
6,NVFlare,84.07,0.63598,0.83146,80.62
7,Flower XGBoost Bagging,77.09,0.5370370370370371,0.7028333333333333,80.33
7,Flower XGBoost Cyclic,75.97,0.548867048867049,0.7191333333333333,80.33
7,FedTree,87.02,0.603774,0.806023,84.07
7,FedXGBLLR,79.15,0.6072,0.8087,79.74
7,NVFlare,83.58,0.62722,0.83202,81.13
8,Flower XGBoost Bagging,72.26,0.5848133848133849,0.7177666666666667,81.18
8,Flower XGBoost Cyclic,79.69,0.5292289409936469,0.6788333333333334,80.39
8,FedTree,88.57,0.609524,0.814628,84.8
8,FedXGBLLR,80.27,0.5818,0.8136,79.27
8,NVFlare,84.45,0.66035,0.82472,83.14
