Depth,privacy_budget,RA (F-TP),RA,F1,AUC
3,No Defense,63.08,71.74,0.586,0.810
3,200,54.32,67.48,0.500,0.811
3,50,53.88,57.43,0.471,0.645
3,25,56.47,48.31,0.495,0.694
4,No Defense,63.21,72.74,0.596,0.826
4,200,58.84,69.41,0.589,0.819
4,50,57.02,61.89,0.415,0.614
4,25,60.75,50.75,0.481,0.641
5,No Defense,65.98,72.51,0.606,0.798
5,200,59.92,71.14,0.568,0.798
5,50,60.37,58.53,0.547,0.708
5,25,60.54,55.94,0.472,0.599
6,No Defense,66.16,73.27,0.604,0.805
6,200,62.39,71.38,0.531,0.739
6,50,59.90,61.64,0.468,0.681
6,25,61.56,52.82,0.386,0.589
7,No Defense,67.35,73.03,0.604,0.806
7,200,62.43,71.29,0.529,0.769
7,50,63.94,64.12,0.496,0.626
7,25,61.55,58.18,0.417,0.555
8,No Defense,67.46,73.37,0.610,0.815
8,200,65.99,72.39,0.500,0.751
8,50,64.69,65.93,0.487,0.624
8,25,60.70,60.55,0.435,0.550
