Depth,privacy_budget,RA (F-TP),RA,F1,AUC
3,No Defense,79.67,87.87,0.586,0.810
3,200,72.01,84.77,0.500,0.811
3,50,59.69,72.37,0.471,0.645
3,25,68.05,60.21,0.495,0.694
4,No Defense,80.67,86.32,0.596,0.826
4,200,71.55,84.12,0.589,0.819
4,50,69.73,75.95,0.415,0.614
4,25,74.00,65.93,0.481,0.641
5,No Defense,83.71,87.57,0.606,0.798
5,200,74.62,86.24,0.568,0.798
5,50,74.59,70.30,0.547,0.708
5,25,74.02,70.30,0.472,0.599
6,No Defense,82.95,88.17,0.604,0.805
6,200,78.20,87.02,0.531,0.739
6,50,75.43,75.05,0.468,0.681
6,25,77.74,63.22,0.386,0.589
7,No Defense,84.07,87.02,0.604,0.806
7,200,77.93,85.97,0.529,0.769
7,50,78.77,78.75,0.496,0.626
7,25,76.17,70.98,0.417,0.555
8,No Defense,84.80,88.57,0.610,0.815
8,200,81.38,86.92,0.500,0.751
8,50,81.35,81.76,0.487,0.624
8,25,75.08,75.24,0.435,0.550
