Depth,System,Accuracy,Train F1,Train AUC,Baseline Accuracy
3,Flower XGBoost Bagging,85.74,0.21346326478722688,0.7547,75.95
3,Flower XGBoost Cyclic,83.55,0.23710877948166081,0.7478,76.02
3,FedTree,92.23,0.207407,0.766351,77.15
3,FedXGBLLR,88.89,0.2149,0.6354,76.5
3,NVFlare,94.1,0.16541,0.76694,75.9
4,Flower XGBoost Bagging,83.83,0.21545192894039372,0.7501333333333333,78.65
4,Flower XGBoost Cyclic,87.13,0.1566893424036281,0.7381666666666667,76.63
4,FedTree,92.33,0.2,0.763629,78.71
4,FedXGBLLR,91.34,0.2178,0.6281,79.1
4,NVFlare,91.55,0.20292,0.77388,78.29
5,Flower XGBoost Bagging,84.0,0.18460886515806424,0.7504666666666665,80.42
5,Flower XGBoost Cyclic,88.4,0.1582576596530085,0.7312,77.79
5,FedTree,93.84,0.208696,0.766412,80.42
5,FedXGBLLR,95.63,0.1826,0.6197,78.52
5,NVFlare,93.05,0.20261,0.76651,79.11
6,Flower XGBoost Bagging,86.92,0.17623604465709727,0.7459,78.82
6,Flower XGBoost Cyclic,86.66,0.16221119838317025,0.7598,77.46
6,FedTree,94.71,0.110092,0.767217,81.99
6,FedXGBLLR,91.95,0.1567,0.6172,79.59
6,NVFlare,89.42,0.16381,0.77462,80.2
7,Flower XGBoost Bagging,87.59,0.13825222396650969,0.7312333333333333,81.25
7,Flower XGBoost Cyclic,89.63,0.17592952923963376,0.7342333333333333,78.98
7,FedTree,92.49,0.12963,0.768454,83.38
7,FedXGBLLR,95.15,0.1055,0.6076,82.64
7,NVFlare,86.79,0.10333,0.74402,78.8
8,Flower XGBoost Bagging,91.05,0.16049993585866915,0.7513,82.95
8,Flower XGBoost Cyclic,89.38,0.15794645050356176,0.7089333333333334,79.45
8,FedTree,94.8,0.108108,0.769443,83.74
8,FedXGBLLR,91.34,0.0973,0.6137,82.72
8,NVFlare,86.57,0.12768,0.76099,75.7
